,param,exp_id,q,size,loader,localizer,drifting samples,score,time
0,-2,0,0.8,500,SyntheticTimeSeriesLoader,MB-DL RF,106,0.9820419500047889,27.236522912979126
1,-2,0,0.8,500,SyntheticTimeSeriesLoader,LDD,106,0.9582056316444786,0.025331497192382812
2,-2,0,0.8,500,SyntheticTimeSeriesLoader,kdqTree,106,0.08040417584522555,0.09128379821777344
3,-2,0,0.8,500,SyntheticTimeSeriesLoader,MB-DL kNN,106,0.9902906809692558,0.11555123329162598
4,-2,0,0.8,500,SyntheticTimeSeriesLoader,MB-DL RT,106,0.9999760559333397,0.8545515537261963
5,-2,0,0.8,500,SyntheticTimeSeriesLoader,MB-DL DT,106,0.9999281678000191,1.1613624095916748
6,-2,0,0.8,500,SyntheticTimeSeriesLoader,CP DT,106,0.9970309357341252,0.6223564147949219
7,-2,0,0.8,500,SyntheticTimeSeriesLoader,CP MLP,106,0.9985394119337228,131.85398769378662
8,-2,1,0.8,500,SyntheticTimeSeriesLoader,MB-DL RF,92,0.9756633631713555,7.1957221031188965
9,-2,1,0.8,500,SyntheticTimeSeriesLoader,LDD,92,0.9923406862745099,0.3622288703918457
10,-2,1,0.8,500,SyntheticTimeSeriesLoader,kdqTree,92,0.0319160272804774,0.6937804222106934
11,-2,1,0.8,500,SyntheticTimeSeriesLoader,MB-DL kNN,92,0.9973492114236999,0.1536400318145752
12,-2,1,0.8,500,SyntheticTimeSeriesLoader,MB-DL RT,92,0.9999733589087808,1.0978615283966064
13,-2,1,0.8,500,SyntheticTimeSeriesLoader,MB-DL DT,92,0.9990675618073316,4.720906972885132
14,-2,1,0.8,500,SyntheticTimeSeriesLoader,CP DT,92,0.9982816496163682,0.9730775356292725
15,-2,1,0.8,500,SyntheticTimeSeriesLoader,CP MLP,92,0.9960571184995737,154.68230390548706
